No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Y
1,423,423,0,0,0,0,0,0,0,0,0,0,1,1,0,0,328,0,0,1,0,0,0,21.416,1.876,2.527,0,0,0,0,0,0,32.556,20.205,1
2,1745,931,335,479,0.456,0.59,0.645,0.065,796,549,216,31,0.886,5,1067,271,601,0.451,0.989,12,20.952,1.588,1.872,80.244,1.296,1.408,8.014,-2.175,-2.202,-2.23,1.209,-1.274,54.636,91.674,1
3,175,106,69,0,0,0,0,0,0,0,0,0,0.8,4,139,139,258,0.539,0,1,0,0,0,52.632,1.494,1.786,0,0,0,0,0,0,129,123,0
4,185,79,106,0,0.157,0.329,0.028,0,29,26,3,0,0.881,6,29,0,0,0,0,3,2.261,0.329,3.384,9.743,1.238,1.512,-1.634,5.003,0.113,0.169,0.779,-0.263,0,0,0
5,275,122,153,0,0,0,0,0,0,0,0,0,0.996,1,4,4,138,0.029,0,3,0,0,0,20.509,1.899,2.727,0,0,0,0,0,0,27.6,39.722,1
6,101,101,0,0,0.446,0.446,0,0,45,45,0,0,0.554,1,74,29,141,0.206,0.462,2,8.734,1.976,1.555,15.005,1.352,2.261,12.451,-0.476,-1.559,0.302,-1.418,0,28.2,18.519,1
7,585,585,0,0,0.179,0.179,0,0,105,105,0,0,0.862,5,134,29,247,0.117,0.654,4,26.424,2.282,2.075,27.157,1.804,2.585,16.489,5.071,6.114,0.346,0,0,24.7,27.063,1
8,224,120,104,0,0,0,0,0,0,0,0,0,1,5,0,0,222,0,0,1,0,0,0,16.164,1.516,1.296,0,0,0,0,0,0,31.714,27.499,1
9,1363,1022,341,0,0.679,0.711,0.581,0,925,727,198,0,0.387,6,971,46,97,0.474,0.699,1,36.259,1.13,1.328,20.302,1.055,1.534,-5.864,1.39,-0.516,-0.127,-0.351,0.143,10.778,11.811,1
10,531,531,0,0,0,0,0,0,0,0,0,0,1,3,0,0,266,0,0,1,0,0,0,17.744,1.267,1.393,0,0,0,0,0,0,22.167,14.775,1
11,433,433,0,0,0,0,0,0,0,0,0,0,1,5,0,0,111,0,0,1,0,0,0,16.171,1.872,2.527,0,0,0,0,0,0,27.75,25.927,1
12,1911,1602,309,0,0.021,0.025,0,0,40,40,0,0,0.432,5,40,0,0,0,0,2,2.347,1.892,0.219,26.947,0.902,1.043,-2.989,-2.82,-0.616,-0.123,0.305,0.099,0,0,1
13,1051,389,662,0,0,0,0,0,0,0,0,0,1,5,0,0,37,0,0,1,0,0,0,36.418,1.195,1.379,0,0,0,0,0,0,18.5,12.5,0
14,3235,692,861,1682,0.005,0,0,0.01,17,0,0,17,0.893,1,17,0,631,0,0,2,2.002,0.148,0.241,25.625,0.67,0.792,-1.184,0.05,-0.12,0.064,-0.055,-0.022,70.111,70.984,1
15,345,345,0,0,0,0,0,0,0,0,0,0,1,3,0,0,34,0,0,3,0,0,0,12.492,1.642,1.723,0,0,0,0,0,0,11.333,11.785,1
16,2457,1449,350,658,0.002,0.003,0,0,4,4,0,0,0.998,5,4,0,168,0,0,2,1.109,0.045,0,58.68,1.847,1.973,-5.412,-3.467,0.634,0.18,2.897,-0.755,12.923,12.929,1
17,537,292,245,0,0,0,0,0,0,0,0,0,0.793,6,30,30,392,0.077,0,2,0,0,0,18.73,1.617,1.783,0,0,0,0,0,0,24.5,21.059,1
18,1282,880,273,129,0,0,0,0,0,0,0,0,1,5,0,0,91,0,0,1,0,0,0,23.585,0.931,1.13,0,0,0,0,0,0,10.111,14.24,1
19,1003,179,267,557,0,0,0,0,0,0,0,0,0.999,6,0,0,68,0,0,1,0,0,0,62.964,1.082,1.318,0,0,0,0,0,0,17,15.215,1
20,1495,861,550,84,0,0,0,0,0,0,0,0,0.883,1,0,0,877,0,0,2,0,0,0,62.01,1.179,1.231,0,0,0,0,0,0,48.444,42.12,1
21,647,518,129,0,0.056,0.066,0.016,0,36,34,2,0,0.589,5,268,232,1330,0.174,3.135,12,3.962,1.314,0.488,14.36,1.915,1.757,7.158,8.046,-0.32,-0.198,1.317,-0.697,40.303,69.458,1
22,1215,204,1011,0,0.005,0,0.006,0,6,0,6,0,0.996,5,40,34,673,0.051,10.23,2,0.803,0.819,0.17,35.458,2.074,2.568,10.665,0.375,0.053,0,-0.391,0.107,84.125,60.088,1
23,167,58,109,0,0,0,0,0,0,0,0,0,1,5,0,0,325,0,0,1,0,0,0,11.966,1.091,1.343,0,0,0,0,0,0,81.25,94.494,1
24,62,62,0,0,0,0,0,0,0,0,0,0,1,5,0,0,71,0,0,2,0,0,0,18.943,1.847,2.419,0,0,0,0,0,0,35.5,16.5,1
25,2725,352,1341,1032,0.016,0.099,0.006,0,43,35,8,0,0.998,5,71,28,1435,0.02,1.237,4,3.992,1.836,1.494,54.07,1.202,1.469,3.321,2.561,-0.653,-1.101,-1.666,0.171,28.7,38.752,1
26,264,264,0,0,0,0,0,0,0,0,0,0,1,5,0,0,148,0,0,1,0,0,0,13.541,0.857,1.613,0,0,0,0,0,0,37,52.683,1
27,170,88,82,0,0,0,0,0,0,0,0,0,1,1,0,0,109,0,0,1,0,0,0,25.47,2.7,2.34,0,0,0,0,0,0,36.333,24.418,1
28,557,161,154,242,0,0,0,0,0,0,0,0,0.567,1,0,0,104,0,0,1,0,0,0,84.571,2.124,4.12,0,0,0,0,0,0,26,30.96,1
29,2153,787,1227,139,0.139,0.121,0.166,0,299,95,204,0,0.676,3,309,10,45,0.222,1.6,7,23.76,0.598,0.385,10.496,0.52,0.702,-1.325,0.86,-0.153,-0.043,-0.211,0.236,11.25,5.166,1
30,743,458,285,0,0,0,0,0,0,0,0,0,0.999,2,0,0,275,0,0,2,0,0,0,31.579,1.512,2.133,0,0,0,0,0,0,30.556,22.495,1
