Longitude - Start (deg),Latitude - Start (deg),Longitude - End (deg),Latitude - End (deg)
36.29783,50.49929,36.29684,50.52524
67.87663,37.76613,67.65986,37.60078
64.04207,37.88357,64.07012,37.89611
64.04549,37.83769,64.04392,37.84497
64.04503,37.83783,64.04745,37.87005
64.04353,37.86493,64.03991,37.83992
64.04734,37.87083,64.02528,37.80509
64.0253,37.80488,64.05952,37.84443
64.04805,37.86965,64.02577,37.80454
63.98625,37.78909,64.04762,37.87034
64.0477,37.8711,64.02512,37.80469
64.02599,37.80318,64.04914,37.86996
63.99898,37.81514,63.9971,37.77515
64.06037,37.89359,64.04746,37.87004
64.01617,37.79812,64.03184,37.87432
64.02612,37.80238,63.98859,37.78857
64.03464,37.82938,64.0261,37.80448
63.98763,37.788,63.97236,37.78044
64.02536,37.80478,64.04536,37.86726
64.02554,37.80469,63.98907,37.78841
64.02772,37.89586,64.02589,37.80446
64.04619,37.86924,64.04881,37.87048
67.87105,37.76932,67.65985,37.60077
64.04674,37.86969,63.98928,37.78852
63.96504,37.77951,63.98919,37.78867
64.04742,37.87096,63.98915,37.78852
36.28819,50.51581,36.31656,50.55483
63.98807,37.78815,64.02539,37.80447
64.03578,37.82599,64.0447,37.86862
63.98909,37.78869,64.02528,37.80512
64.04247,37.88244,64.06153,37.89244
67.79618,37.70948,67.79716,37.7067
64.04655,37.87114,64.06922,37.89707
64.0457,37.86826,64.02528,37.80493
36.37143,50.54584,36.31426,50.53826
64.04766,37.87102,64.05923,37.84419
64.02569,37.80404,63.98915,37.78872
64.04492,37.83831,64.04786,37.8701
64.01345,37.97232,64.02589,37.80446
63.98876,37.78878,64.04797,37.87049
64.05969,37.8455,64.05004,37.8447
36.31098,50.53949,36.31559,50.55381
64.04869,37.87112,64.02433,37.80546
64.05952,37.84583,64.0479,37.87047
64.04736,37.87091,64.02528,37.80493
64.02552,37.80503,63.98837,37.7881
64.0477,37.87106,64.02577,37.80438
64.02576,37.80368,64.04794,37.87067
63.98945,37.78863,64.047,37.83751
64.04737,37.87088,64.02525,37.80511
64.04196,37.84548,64.04786,37.87049
64.04763,37.87102,64.04703,37.83757
64.02015,37.80127,63.98861,37.78856
36.29242,50.52097,36.32977,50.54572
64.0161,37.80045,63.98906,37.78884
64.02582,37.80358,63.98856,37.7886
64.04613,37.86931,64.05214,37.79853
64.02625,37.80848,64.04731,37.87012
64.02567,37.80407,64.02676,37.80342
64.04489,37.83809,64.04836,37.87033
64.04113,37.86499,63.98927,37.78837
64.0472,37.87065,63.98907,37.78841
64.02579,37.8039,64.04688,37.83806
67.66103,37.60268,67.79682,37.71419
63.98898,37.78895,64.02525,37.80478
63.98892,37.78886,64.04696,37.83809
64.0476,37.84024,64.04812,37.87015
63.98555,37.78554,64.04725,37.87026
63.99722,37.77854,64.0477,37.87029
21.09501,62.57192,21.15224,62.39041
64.04556,37.83731,64.04801,37.87013
36.247,50.50011,36.28639,50.51318
63.98933,37.78859,64.04709,37.83757
64.0593,37.84626,64.04791,37.86993
64.04765,37.86966,64.02523,37.80519
63.98847,37.78868,64.04825,37.87007
64.03363,37.87599,63.98854,37.78977
64.02638,37.80906,64.04811,37.87041
36.26788,50.49508,36.31842,50.53944
63.98881,37.78882,64.04732,37.8706
63.98713,37.78727,64.02536,37.80433
64.02536,37.80532,64.0274,37.89632
63.98699,37.79154,64.04503,37.86841
64.13192,37.77954,64.04733,37.86974
64.05456,37.89169,64.06881,37.89745
64.02563,37.80414,64.04821,37.87005
64.0473,37.87108,64.04885,37.845
64.04232,37.8849,64.04839,37.86984
64.04772,37.87106,63.98919,37.78841
64.03454,37.8267,64.04833,37.87005
64.02588,37.8043,64.04811,37.87017
64.04537,37.8679,64.02522,37.80518
63.9881,37.78813,64.05994,37.84496
63.99845,37.77401,64.02519,37.80483
64.04616,37.8708,64.02544,37.80451
64.04735,37.87009,63.98915,37.78901
64.02672,37.80318,64.04762,37.87065
37.65462,47.85508,37.67482,47.83384
63.99665,37.78764,64.13452,37.77993
64.04619,37.86941,64.02335,37.80516
64.02605,37.80255,63.98913,37.78906
64.04728,37.87081,64.02585,37.80456
64.0256,37.80385,64.02363,37.79403
64.02616,37.80847,64.04803,37.87046
63.98864,37.7886,64.0261,37.80448
63.98821,37.78823,64.02528,37.80509
64.13197,37.77821,64.0482,37.87014
36.32376,50.53813,36.46749,50.45598
64.07367,37.79769,64.13117,37.692
64.04497,37.83797,64.04762,37.87026
64.04772,37.87107,64.02601,37.80445
36.3226,50.54312,36.26488,50.49836
21.16269,62.39143,21.17623,62.39335
64.0182,37.74366,64.05973,37.84448
64.02582,37.80397,64.04708,37.83759
64.04619,37.86937,64.02524,37.80484
37.72913,47.84998,37.86595,47.85256
64.02575,37.80496,64.04741,37.87094
64.02593,37.80396,64.0477,37.87075
64.04318,37.84549,64.04865,37.87032
64.04724,37.87058,64.02528,37.80491
64.02516,37.80523,63.9895,37.78854
64.02465,37.80338,63.98918,37.78854
64.0662,37.89553,64.04818,37.87017
64.01817,37.74363,63.96306,37.78034
64.0477,37.87114,64.02524,37.80511
63.9894,37.78856,64.02601,37.80438
64.06638,37.89561,64.0482,37.87016
63.98781,37.78807,63.99709,37.77537
67.78492,37.71654,67.80241,37.73325
64.0482,37.84105,64.04779,37.87149
64.04676,37.86975,64.02528,37.80485
64.04614,37.86932,63.98927,37.78861
64.04787,37.87107,64.02593,37.80459
64.04562,37.86811,64.05061,37.84824
64.04763,37.86977,64.02529,37.80479
64.04803,37.85049,64.04827,37.87012
63.98927,37.78896,64.02593,37.80435
63.99551,37.77161,64.02526,37.80452
64.04199,37.83915,64.04762,37.87009
64.04952,37.84918,64.04753,37.87023
63.9888,37.78838,64.02577,37.80454
64.01626,37.80976,64.03536,37.83523
63.98895,37.78887,64.02561,37.80496
64.04424,37.8461,64.04825,37.87005
64.02601,37.80307,64.04688,37.87035
64.02573,37.80392,63.98907,37.78841
64.04801,37.87099,64.02523,37.80517
37.69356,47.85348,37.7239,47.84669
64.02561,37.80405,64.06002,37.84484
64.03468,37.82835,64.0423,37.86499
64.0685,37.89646,64.04733,37.86974
36.33773,50.55064,36.46768,50.45726
64.04616,37.86986,64.13466,37.77956
64.04763,37.84693,64.04762,37.87034
64.04732,37.87042,64.0273,37.89599
64.02546,37.80498,63.989,37.78847
38.0067,47.68463,38.00214,47.68641
64.04441,37.88232,64.04759,37.87097
64.04608,37.87001,63.98913,37.78855
64.02544,37.80486,63.98903,37.78838
63.98806,37.78811,64.02269,37.80652
64.05738,37.89174,64.04818,37.8702
64.04503,37.84181,64.0331,37.83661
64.04556,37.83726,64.04823,37.87027
64.05966,37.8457,64.04809,37.8702
63.97295,37.7803,64.02461,37.80248
64.02781,37.89583,64.04696,37.83809
64.1305,37.77506,64.0548,37.81105
64.04613,37.86944,64.02433,37.80546
64.01581,37.7317,64.01839,37.74375
64.02586,37.80334,64.04811,37.87033
63.98884,37.78879,64.02601,37.80438
63.98932,37.78896,64.048,37.8704
37.65447,47.83811,37.65115,47.8613
64.0461,37.86932,64.02749,37.8105
64.04727,37.87093,64.02601,37.80445
64.04746,37.84521,64.02815,37.80016
64.02585,37.80384,64.03422,37.82415
64.04795,37.87111,64.02601,37.80445
36.32021,50.53762,36.31419,50.5385
64.04638,37.87087,64.02532,37.80484
64.04868,37.87113,63.98931,37.78836
64.02573,37.80392,64.1314,37.77518
64.02509,37.80512,64.04794,37.87052
64.02607,37.80223,64.0237,37.79417
64.04618,37.8705,64.024,37.80567
64.02581,37.80346,64.04688,37.83822
64.05864,37.84504,64.04783,37.86985
64.04786,37.8711,64.04306,37.84561
36.3084,50.54427,36.32946,50.54599
64.04728,37.86984,63.98924,37.78847
64.04799,37.87147,64.02558,37.81488
64.01725,37.80066,63.98939,37.78807
64.0255,37.8049,63.98911,37.78858
64.04575,37.86824,64.02577,37.80446
64.02256,37.80215,63.98911,37.78828
63.98545,37.78546,63.99731,37.77535
63.98754,37.78793,64.02585,37.80456
63.99823,37.7741,64.04781,37.87019
64.04627,37.86914,63.99705,37.7754
64.04615,37.86938,64.02525,37.80512
36.29764,50.52741,36.25519,50.49756
64.01571,37.83667,64.02734,37.89622
36.3265,50.54456,36.30628,50.54337
64.04506,37.84392,64.04778,37.84514
64.05204,37.84896,64.04696,37.83809
64.01673,37.74443,63.98923,37.78853
